datetimestart,datetimestop,provider,server,distance,ping,download,upload
2017-10-15 09:30:01,2017-10-15 09:30:31,Telstra Internet,Telstra (Brisbane),5.31,18.176,32.42,0.9
2017-10-15 10:00:01,2017-10-15 10:00:36,Telstra Internet,Telstra (Brisbane),5.31,16.074,34.23,1.22
2017-10-15 10:30:01,2017-10-15 10:30:29,Telstra Internet,Telstra (Brisbane),5.31,16.683,33.65,1.05
2017-10-15 11:30:01,2017-10-15 11:30:35,Telstra Internet,Telstra (Brisbane),5.31,13.715,33.83,1.15
2017-10-15 12:00:01,2017-10-15 12:00:31,Telstra Internet,Telstra (Brisbane),5.31,16.782,34.58,1.09
2017-10-15 12:30:01,2017-10-15 12:30:38,Telstra Internet,Telstra (Brisbane),5.31,16.202,34.57,1.05
2017-10-15 13:00:01,2017-10-15 13:00:31,Telstra Internet,Telstra (Brisbane),5.31,15.474,29.14,0.87
2017-10-15 13:30:01,2017-10-15 13:30:39,Telstra Internet,AARNet (Brisbane),5.31,16.919,34.25,1.56
2017-10-15 14:00:01,2017-10-15 14:00:30,Telstra Internet,AARNet (Brisbane),5.31,16.82,33.66,1.7
2017-10-15 15:00:01,2017-10-15 15:00:29,Telstra Internet,'Yes' Optus (Brisbane),5.31,17.746,33.34,1.06
2017-10-15 15:30:01,2017-10-15 15:30:27,Telstra Internet,Telstra (Brisbane),5.31,16.633,32.47,1.19
2017-10-15 17:30:01,2017-10-15 17:30:33,Telstra Internet,AARNet (Brisbane),5.31,14.84,34.9,1.48
2017-10-15 18:00:01,2017-10-15 18:00:27,Telstra Internet,Telstra (Brisbane),5.31,14.469,33.67,1.2
2017-10-15 18:30:01,2017-10-15 18:30:36,Telstra Internet,Telstra (Brisbane),5.31,14.824,33.85,1.08
2017-10-15 19:30:01,2017-10-15 19:30:27,Telstra Internet,Telstra (Brisbane),5.31,16.326,32.2,1.1
2017-10-15 20:30:01,2017-10-15 20:30:38,Telstra Internet,Telstra (Brisbane),5.31,15.301,33.94,1.04
2017-10-15 21:30:02,2017-10-15 21:30:28,Telstra Internet,Telstra (Brisbane),5.31,17.068,31.94,1.04
2017-10-15 22:00:01,2017-10-15 22:00:32,Telstra Internet,Telstra (Brisbane),5.31,16.297,32.12,0.83
2017-10-15 22:30:01,2017-10-15 22:30:27,Telstra Internet,Telstra (Brisbane),5.31,14.838,32.55,1.18
2017-10-15 23:00:01,2017-10-15 23:00:35,Telstra Internet,Telstra (Brisbane),5.31,16.972,31.13,0.98
2017-10-15 23:30:01,2017-10-15 23:30:29,Telstra Internet,Telstra (Brisbane),5.31,14.746,31.72,1.06
2017-10-16 00:00:01,2017-10-16 00:00:29,Telstra Internet,AARNet (Brisbane),5.31,15.873,34.04,1.97
2017-10-16 00:30:01,2017-10-16 00:30:29,Telstra Internet,Telstra (Brisbane),5.31,15.443,34.29,1.08
2017-10-16 01:30:01,2017-10-16 01:30:26,Telstra Internet,Telstra (Brisbane),5.31,15.568,34.83,1.26
2017-10-16 02:30:01,2017-10-16 02:30:29,Telstra Internet,Telstra (Brisbane),5.31,16.01,33.76,1.05
2017-10-16 03:00:01,2017-10-16 03:00:26,Telstra Internet,Telstra (Brisbane),5.31,15.088,34.91,1.33
2017-10-16 03:30:01,2017-10-16 03:30:36,Telstra Internet,Telstra (Brisbane),5.31,12.369,34.61,1.13
2017-10-16 04:30:01,2017-10-16 04:30:32,Telstra Internet,AARNet (Brisbane),5.31,15.355,33.56,1.55
2017-10-16 05:30:01,2017-10-16 05:30:29,Telstra Internet,Foxtel Broadband (Brisbane),5.31,17.021,31.5,1.04
2017-10-16 06:30:01,2017-10-16 06:30:33,Telstra Internet,Telstra (Brisbane),5.31,17.255,34.78,1.24
2017-10-16 07:30:01,2017-10-16 07:30:37,Telstra Internet,Telstra (Brisbane),5.31,15.139,34.79,1.14
2017-10-16 08:30:01,2017-10-16 08:30:37,Telstra Internet,AARNet (Brisbane),5.31,16.399,35.13,1.67
2017-10-16 09:30:01,2017-10-16 09:30:33,Telstra Internet,Telstra (Brisbane),5.31,14.903,34.19,0.98
